SamplingRound,SamplingYear,Protocol_Name,Park,Plot,SamplingType,Panel_type,Location_status,Habitat,Transect,TransectLength_m,SampledTransectLength_m,Sampled,Accepted_LatinName,VegType,Diameter_cm,Status,SitePair,Northing,Easting
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,10,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,2.8,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,8.3,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,3.1,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,26.4,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,12,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,6.3,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,4.1,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,10.5,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,18.4,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,3.3,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,3.8,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,2.5,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,16.1,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,1,50,50,Sampled with Data,Acer saccharum,Tree,8.8,Live,1002 - 1,5204542.286690000444651,667456.848694000043906
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,3,50,50,Sampled with Data,Acer saccharum,Tree,6.1,Live,1002 - 3,5204445.461470000445843,667461.475555000011809
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,3,50,50,Sampled with Data,Acer saccharum,Tree,13.8,Live,1002 - 3,5204445.461470000445843,667461.475555000011809
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,3,50,50,Sampled with Data,Acer saccharum,Tree,14.1,Live,1002 - 3,5204445.461470000445843,667461.475555000011809
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,3,50,50,Sampled with Data,Acer saccharum,Tree,28.8,Live,1002 - 3,5204445.461470000445843,667461.475555000011809
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,3,50,50,Sampled with Data,Acer saccharum,Tree,4.3,Live,1002 - 3,5204445.461470000445843,667461.475555000011809
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,3,50,50,Sampled with Data,Acer saccharum,Tree,3.1,Live,1002 - 3,5204445.461470000445843,667461.475555000011809
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,3,50,50,Sampled with Data,Acer saccharum,Tree,16.4,Live,1002 - 3,5204445.461470000445843,667461.475555000011809
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,2,50,50,Sampled with Data,Acer saccharum,Tree,10.7,Live,1002 - 2,5204491.400310000404716,667459.445318000041880
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,2,50,50,Sampled with Data,Acer saccharum,Tree,3.1,Live,1002 - 2,5204491.400310000404716,667459.445318000041880
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,2,50,50,Sampled with Data,Acer saccharum,Tree,10.1,Live,1002 - 2,5204491.400310000404716,667459.445318000041880
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,2,50,50,Sampled with Data,Acer saccharum,Tree,5.7,Live,1002 - 2,5204491.400310000404716,667459.445318000041880
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,2,50,50,Sampled with Data,Acer saccharum,Tree,3.7,Live,1002 - 2,5204491.400310000404716,667459.445318000041880
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,2,50,50,Sampled with Data,Acer saccharum,Tree,3.4,Dead,1002 - 2,5204491.400310000404716,667459.445318000041880
Round_2,2021,GLKN_VegMon2.0,APIS,1002,Standard,Alternating,Active,Cedar,2,50,50,Sampled with Data,Acer saccharum,Tree,8,Live,1002 - 2,5204491.400310000404716,667459.445318000041880
